order,part,outline_ref,title,source_file,status,notes
1,front,,Title page (false title / title / copyright),src/latex/title.tex,present,"Hand-authored, not from originals/DLOtherFiles/; unaffected by this reordering"
2,front,,Dedication,FRONTISP.TXE,present,"Includes the Lahu-language blessing text"
3,front,,Preface in Lahu,LAHUPREF.TXA,present,"Heading only, no body text survives in the source"
4,front,,Table of Contents,src/latex/toc.tex,present,"Rebuilt to list every row in this file via \tocline/\tocsub, with page-number style (roman for front matter, arabic for main/back matter) resolved automatically by \pageref"
5,front,,List of Plates,PLATES.TXE,present,"Index by plate number; CONTENTS.TXE lists this first in the printed ToC"
6,front,,Acknowledgments,ACKNOWL.TXE,present,
7,front,,"Symbols and Abbreviations -- Note on Phonetic Symbols",SYMBOLS,present,"First of two files under one CONTENTS.TXE ToC line (""Symbols and Abbreviations"")"
8,front,,"Symbols and Abbreviations -- symbol/abbreviation tables",ABBREVS2.TXE,present,"Second of the two files; includes ""III. Form Classes and Construction Types,"" a glossary of grammatical abbreviations (not the same as the missing 4.2 essay below)"
9,front,1.0,History of the Lahu dictionary project,,missing,"No surviving file found anywhere in originals/DLOtherFiles/"
10,front,2.0,The Lahu people and the Lahu language (section intro),,missing,"No surviving file; may have been only a short header before 2.1/2.2 in the original, or may have had its own text -- unknown"
11,front,2.1,The genetic position of Lahu,,missing,"No surviving file found"
12,front,2.2,Lahu dialects and cultural subdivisions,DIALIST.TXA,present,"""The Divisions of the Lahu People\"" -- confirmed match by title/content; previously misfiled as a back-matter appendix, moved here"
13,front,3.0,Transcription and alphabetical order of entries,,missing,"No surviving file. LAHUDICT.TXT was considered and ruled out (confirmed not relevant by project owner) -- it's an unrelated 1983 internal memo about keying diacritics on the CP/M typewriter, not this section"
14,front,4.0,Structure and format of the individual entry (section intro),,missing,"No surviving file"
15,front,4.1,Lemmata and lemmatizational dilemmas,,missing,"No surviving file"
16,front,4.2,Form-classes,,missing,"No surviving essay; the grammatical-abbreviation glossary itself is already covered by ABBREVS2.TXE (row 8) via ""III. Form Classes and Construction Types"""
17,front,4.3,Glosses,,missing,"No surviving file"
18,front,4.4,Subentries,,missing,"No surviving file"
19,front,4.5,"Remarks: cross references and etymologies",,missing,"No surviving file"
20,main,,The Dictionary of Lahu (33 letter sections),generated/latex/lahu.tex,present,"CONTENTS.TXE's own ""Words with initial vowel/consonant\"" quick-index (a page-range table per letter) is effectively already served by toc.tex's letter listing; not separately reconstructed"
21,back,,Appendix: Lahu Linguistic Terminology,LINGTERM.TXA,present,"Not in CONTENTS.TXE's own ToC -- marked \"\"Appendix #\"\" (number left blank) by the author. Placed here, before Bibliography, per project owner's earlier decision to include it as back matter"
22,back,,Appendix: Vocabulary Supplement -- Birdnames,BIRDLIST.TXC,present,"Same as above: unassigned ""Appendix #\"" in the original, included as back matter before Bibliography"
23,back,I,"Bibliography -- I. Works on the Lahu language and people",BIBLIOG.TXE,present,"All three bibliography subsections are one file/one document; internal I/II/III headings are already handled by the existing render_bibliography split logic, not separately orderable"
24,back,II,"Bibliography -- II. Works written in Lahu",BIBLIOG.TXE,present,"(same file as row 23)"
25,back,III,"Bibliography -- III. Works consulted in preparing this Dictionary",BIBLIOG.TXE,present,"(same file as row 23)"
26,back,,Plates,CAPTIONS.TXE,present,"CONTENTS.TXE's very last line -- must be the last section in the whole book, confirmed by project owner"
